Estacion,Date,CO8m,NO2m,O3m,SO2_1,estatus
centro,2026-07-29 19:00:00,,,37.0,2.0,incompleto
este,2026-07-29 19:00:00,0.762,4.0,34.0,6.0,completo
noreste,2026-07-29 19:00:00,0.829,7.0,34.0,6.0,completo
noreste2,2026-07-29 19:00:00,0.782,6.0,39.0,6.0,completo
noroeste,2026-07-29 19:00:00,0.305,5.0,34.0,4.0,completo
noroeste2,2026-07-29 19:00:00,0.531,6.0,35.0,6.0,completo
noroeste3,2026-07-29 19:00:00,0.793,3.0,39.0,5.0,completo
norte,2026-07-29 19:00:00,0.68,4.0,34.0,4.0,completo
norte2,2026-07-29 19:00:00,0.959,13.0,27.0,6.0,completo
sur,2026-07-29 19:00:00,0.559,9.0,36.0,3.0,completo
sureste,2026-07-29 19:00:00,0.728,6.0,35.0,4.0,completo
sureste2,2026-07-29 19:00:00,0.802,22.0,27.0,4.0,completo
sureste3,2026-07-29 19:00:00,0.464,4.0,38.0,5.0,completo
suroeste,2026-07-29 19:00:00,0.835,11.0,24.0,3.0,completo
suroeste2,2026-07-29 19:00:00,1.086,3.0,41.0,4.0,completo
